162.159.195.8:988,284 ms
188.114.98.208:934,284 ms
188.114.96.181:3476,284 ms
188.114.96.97:2408,284 ms
188.114.98.216:4177,284 ms
162.159.195.184:5956,284 ms
188.114.97.239:1002,284 ms
188.114.96.230:890,284 ms
188.114.98.200:8854,285 ms
188.114.99.27:854,285 ms
188.114.97.228:943,285 ms
188.114.99.229:1018,285 ms
188.114.96.144:7152,285 ms
188.114.99.109:854,285 ms
162.159.192.166:945,285 ms
188.114.98.76:5279,285 ms
162.159.195.72:4198,285 ms
162.159.192.46:7559,285 ms
188.114.98.244:988,286 ms
162.159.192.80:864,286 ms
188.114.98.162:8319,286 ms
162.159.195.36:942,286 ms
188.114.99.247:2371,286 ms
188.114.98.143:878,286 ms
188.114.99.127:1070,286 ms
188.114.97.104:4198,287 ms
188.114.98.58:903,287 ms
188.114.96.98:8319,287 ms
188.114.97.66:1014,287 ms
188.114.98.248:1014,287 ms
188.114.98.101:7281,287 ms
188.114.99.209:7559,287 ms
162.159.195.88:945,287 ms
188.114.96.118:5956,287 ms
188.114.96.63:945,288 ms
162.159.192.253:903,288 ms
162.159.192.20:934,288 ms
188.114.97.76:939,288 ms
188.114.97.61:8886,289 ms
162.159.192.240:878,289 ms
188.114.96.251:3581,289 ms
188.114.97.237:908,289 ms
188.114.96.81:2506,289 ms
188.114.96.26:4177,290 ms
162.159.195.159:1843,290 ms
188.114.98.77:1843,290 ms
188.114.97.16:1010,290 ms
188.114.98.233:7559,290 ms
162.159.195.32:8886,291 ms
162.159.195.220:7156,291 ms
188.114.97.130:894,291 ms
188.114.97.80:891,291 ms
162.159.192.23:7559,291 ms
188.114.98.7:1010,292 ms
188.114.99.235:4177,292 ms
188.114.99.221:955,292 ms
188.114.97.47:1014,292 ms
188.114.96.75:1070,292 ms
188.114.98.85:945,292 ms
188.114.97.19:5279,293 ms
188.114.96.161:1014,293 ms
188.114.96.86:5279,293 ms
188.114.97.206:8319,293 ms
188.114.97.199:1843,293 ms
188.114.98.235:903,293 ms
188.114.97.153:4233,293 ms
188.114.96.62:1070,294 ms
188.114.98.169:3854,294 ms
188.114.97.55:8319,294 ms
188.114.99.125:7152,294 ms
188.114.96.0:968,294 ms
188.114.98.80:8886,294 ms
162.159.195.237:968,295 ms
188.114.98.134:1018,295 ms
162.159.195.14:939,295 ms
188.114.98.231:988,295 ms
188.114.96.162:943,295 ms
162.159.195.144:4233,296 ms
188.114.97.93:854,296 ms
188.114.96.191:8854,296 ms
188.114.97.74:4233,296 ms
162.159.192.179:946,297 ms
162.159.192.58:891,297 ms
162.159.192.31:5279,297 ms
188.114.99.5:987,298 ms
188.114.96.175:1010,298 ms
188.114.97.119:903,298 ms
188.114.99.92:4500,298 ms
188.114.99.237:2506,298 ms
162.159.195.242:7152,298 ms
188.114.96.6:939,298 ms
188.114.96.65:4177,299 ms
188.114.99.29:5279,299 ms
188.114.98.206:1070,299 ms
188.114.96.242:1387,300 ms
188.114.99.106:894,300 ms
188.114.98.240:854,301 ms
188.114.97.77:864,301 ms
188.114.99.135:4233,301 ms
188.114.96.54:7103,301 ms
162.159.195.200:880,301 ms
162.159.195.13:894,301 ms
162.159.192.251:939,301 ms
162.159.192.175:7103,302 ms
188.114.97.131:946,302 ms
188.114.98.188:1002,302 ms
188.114.97.153:4177,302 ms
188.114.98.171:1018,302 ms
188.114.97.221:928,302 ms
188.114.99.176:908,303 ms
188.114.99.152:5279,303 ms
188.114.99.73:891,303 ms
188.114.97.186:1843,303 ms
188.114.98.54:908,303 ms
188.114.98.194:859,303 ms
188.114.97.145:988,303 ms
162.159.192.25:4233,304 ms
162.159.192.116:988,304 ms
188.114.98.66:7559,304 ms
188.114.98.29:2371,304 ms
188.114.97.218:928,304 ms
162.159.195.131:4233,304 ms
188.114.96.42:1180,304 ms
188.114.97.181:908,304 ms
188.114.96.187:3581,304 ms
188.114.96.28:928,305 ms
162.159.192.196:7559,305 ms
188.114.97.97:945,305 ms
162.159.192.44:1074,305 ms
162.159.195.176:2506,305 ms
162.159.195.43:3138,305 ms
188.114.98.236:894,306 ms
188.114.97.15:908,306 ms
162.159.195.163:4500,307 ms
188.114.96.45:1002,307 ms
162.159.192.156:8742,307 ms
188.114.99.171:928,307 ms
188.114.98.17:7281,307 ms
162.159.195.139:1701,308 ms
188.114.97.98:4198,308 ms
188.114.97.32:939,309 ms
188.114.96.95:3581,309 ms
188.114.97.23:5956,309 ms
162.159.192.115:1014,309 ms
188.114.99.145:5956,309 ms
162.159.195.124:864,310 ms
188.114.96.113:903,310 ms
188.114.97.161:945,310 ms
188.114.97.160:864,310 ms
188.114.96.197:1843,311 ms
162.159.192.113:908,312 ms
162.159.192.147:890,312 ms
188.114.99.12:7103,313 ms
188.114.98.39:4233,313 ms
188.114.96.76:988,314 ms
162.159.195.42:903,314 ms
162.159.192.173:942,314 ms
188.114.96.152:1010,314 ms
188.114.97.220:1002,315 ms
188.114.96.176:1018,316 ms
188.114.98.120:2371,316 ms
188.114.98.94:7156,316 ms
162.159.195.77:854,316 ms
188.114.99.181:987,316 ms
188.114.96.55:2371,317 ms
188.114.96.237:942,317 ms
188.114.96.131:955,317 ms
188.114.96.173:1070,317 ms
188.114.97.162:1018,318 ms
162.159.192.162:1387,318 ms
162.159.193.3:1701,319 ms
162.159.195.171:968,319 ms
188.114.96.40:7103,319 ms
162.159.195.9:903,319 ms
162.159.195.10:945,320 ms
162.159.192.84:987,320 ms
162.159.195.7:3138,320 ms
188.114.98.160:864,320 ms
162.159.192.90:3138,322 ms
188.114.96.168:880,323 ms
188.114.99.13:1070,323 ms
188.114.96.142:880,324 ms
162.159.195.230:955,325 ms
162.159.192.163:1180,325 ms
162.159.195.119:5956,325 ms
188.114.98.0:854,325 ms
162.159.195.95:3138,326 ms
188.114.98.150:4198,326 ms
188.114.96.84:1010,326 ms
162.159.192.97:1018,326 ms
162.159.195.149:864,327 ms
188.114.98.64:934,328 ms
188.114.97.120:878,328 ms
188.114.97.91:1843,328 ms
188.114.99.80:864,329 ms
162.159.195.247:1387,330 ms
162.159.195.11:878,330 ms
188.114.96.245:1843,330 ms
162.159.195.114:7281,331 ms
162.159.195.90:1074,331 ms
188.114.96.78:939,331 ms
188.114.98.146:894,332 ms
188.114.96.207:934,332 ms
188.114.98.48:939,333 ms
162.159.195.222:864,334 ms
162.159.195.166:942,335 ms
162.159.195.1:3476,335 ms
188.114.97.165:7152,335 ms
188.114.97.135:4198,337 ms
188.114.96.110:955,337 ms
162.159.192.160:4198,338 ms
162.159.192.246:4233,338 ms
162.159.192.152:908,339 ms
162.159.192.123:1180,339 ms
162.159.195.241:928,339 ms
188.114.99.65:880,340 ms
188.114.98.37:4233,341 ms
188.114.97.208:8886,342 ms
188.114.96.133:1070,343 ms
162.159.195.128:1018,343 ms
188.114.97.50:5956,343 ms
162.159.195.207:968,343 ms
188.114.97.150:4198,345 ms
188.114.96.226:987,346 ms
162.159.195.84:1018,347 ms
162.159.195.138:939,347 ms
188.114.98.2:945,348 ms
162.159.192.223:3476,348 ms
162.159.192.76:1014,348 ms
188.114.96.121:864,349 ms
188.114.97.96:1018,350 ms
162.159.195.130:854,350 ms
188.114.96.174:3138,351 ms
188.114.98.111:3138,352 ms
188.114.97.234:890,353 ms
162.159.195.227:4500,353 ms
188.114.96.72:894,356 ms
188.114.98.90:2371,356 ms
188.114.96.127:894,357 ms
188.114.97.115:942,358 ms
162.159.192.87:7156,359 ms
162.159.192.131:7103,359 ms
188.114.98.88:1387,361 ms
162.159.195.61:894,362 ms
188.114.97.118:1018,366 ms
162.159.192.226:8886,368 ms
162.159.195.108:864,369 ms
188.114.96.238:908,371 ms
162.159.192.141:3138,372 ms
162.159.192.99:4177,375 ms
